LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1003968.0,1147392.0,1028160.0,1762560.0,1247240.0,1551600.0
利益,152913330,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,740709.0,956879.0,551830.0,1643460.0,940609.0,1277370.0
,,,,稼働率,73.8%,83.4%,53.7%,93.2%,75.4%,82.3%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,35087.0,,35087.0,,8.0,,11.0,3.0,
F3×10（西原）,400.0,,,,,8.0,11.0,,3.0,
普3×10（東原）,1163.0,2102.0,,2102.0,7.0,,10.0,,3.0,10.0
12普3×6(西新）,697.0,,,,,12.0,,14.0,5.0,
12普3×6化粧(西新）,715.0,,,,,12.0,,14.0,5.0,14.4
12F無塗装（西新）,704.0,33640.0,,33640.0,,8.0,,11.0,5.0,7.5
12F無塗装（西原）,704.0,,,,,8.0,11.0,,5.0,7.5
12F化粧（西新）,817.0,13043.0,,13043.0,,8.0,,11.0,5.0,8.0
12普及化粧（西新）,817.0,,,,,8.0,,8.0,5.0,8.0
12普及化粧（西原）,817.0,,,,,8.0,10.0,,5.0,8.0
12普及化粧（東新）,817.0,45617.0,,45617.0,7.0,,,8.0,5.0,8.0
12普及化粧（東原）,817.0,,,,7.0,,10.0,,5.0,8.0
12普及無塗装（西新）,704.0,,,,7.0,,,8.0,5.0,7.5
12普及無塗装（東原）,704.0,10870.0,,10870.0,7.0,,10.0,,5.0,7.5
12高級リブ柄,817.0,13000.0,,13000.0,8.0,,11.0,,5.0,7.5
12高級（東原）,1075.0,6620.0,,6620.0,8.0,,11.0,,5.0,8.0
15高級（東原）,1025.0,10477.0,,10477.0,10.0,,12.0,,6.0,12.0
16高級（東原）,1073.0,2102.0,,2102.0,12.0,,13.0,,5.0,10.0
16F化粧（西新）,1138.0,10207.0,,10207.0,,11.0,,13.0,5.0,8.181818182
16F無塗装（西新）,1053.0,9065.0,,9065.0,,11.0,,13.0,5.0,8.0
16F化粧（西原）,1138.0,,,,,11.0,13.0,,5.0,8.181818182
14F無塗装（西新）,1053.0,,,,,11.0,13.0,,5.0,8.0
野地板（西新）,598.0,7560.0,,7560.0,,12.0,,17.0,6.0,
野地板2M（西新）,598.0,,,,,12.0,,17.0,6.0,
S1コタタキ（東原）,157.0,4840.0,,4840.0,9.0,,11.0,,,
トンネル材,1.0,1.0,1.0,1.0,,7.0,,,,10.0
型板,1.0,1.0,1.0,1.0,72.0,,,,,
