LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1547761.0,11531839.0,1851131.0,11229669.0,1993600.0,11689120.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,417.0,,,,,7.5,,9.0,3.6,
F3×10（西原）,417.0,,,,,7.5,11.25,,3.6,
普3×10（西新）,970.0,,,,,7.5,,10.2857,3.6,10.0
12普3×6(西新）,697.0,,,,,12.0,,11.25,6.0,
12普3×6化粧(西新）,715.0,,,,,12.0,,11.25,6.0,14.4
12F無塗装（西新）,701.0,465978.0,,,,7.5,,9.0,5.0,7.5
12F無塗装（西原）,701.0,,,,,7.5,11.25,,5.0,7.5
12F化粧（西新）,829.0,,,,,7.5,,9.0,5.0,8.0
12普及無塗装（西新）,701.0,,,,,7.5,,9.0,5.0,7.5
12普及無塗装（東原）,701.0,,,,7.5,,9.73,,5.0,7.5
12普及化粧（西新）,829.0,573925.0,,,,7.5,,9.0,5.0,8.0
12普及化粧（西原）,829.0,,,,,7.5,9.73,,5.0,8.0
12普及化粧（東新）,829.0,,,,7.5,,,9.0,5.0,8.0
12普及化粧（東原）,829.0,,,,7.5,,9.73,,5.0,8.0
12高級リブ柄（東原）,829.0,211280.0,,,7.82,,9.73,,5.0,7.5
12高級（東原）,1054.0,54444.0,,,7.82,,9.73,,5.14,8.0
15高級（東原）,1173.0,85688.0,,,10.59,,11.25,,5.37,12.0
16高級（東原）,1084.0,6968.0,,,14.4,,12.85,,5.54,10.0
14F無塗装（西新）,1124.0,20555.0,,,,11.25,,11.6,5.294,8.0
16F無塗装（西新）,1124.0,72463.0,,,,10.0,,11.6,5.294,8.0
16F化粧（西新）,1293.0,81304.0,,,,10.0,,11.6,5.294,8.181818182
16F化粧（西原）,1293.0,,,,,10.0,14.4,,5.294,8.181818182
野地板（西新）,711.0,86340.0,,,,12.0,,16.36,6.21,
野地板2M（西新）,711.0,,,,,12.0,,16.36,6.21,
S1コタタキ（東原）,157.0,47125.0,,,8.78,,12.4,,,
トンネル材,1.0,1.0,,,,8.0,,8.372,,10.0
型板,1.0,1.0,,,,45.0,,,,
