LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,原料A,工程１,工程２,工程３,工程４
,,,,稼働時間,2073600.0,2073600.0,2073600.0,2073600.0,2073600.0
利益,90322080,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,878576.0,285410.0,256830.0,640000.0,572027.0
,,,,稼働率,42.4%,13.8%,12.4%,30.9%,27.6%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
製品-AA,245.0,6000.0,,6000.0,,8.8,,8.0,4.21
製品-AB,245.0,,,,,8.8,9.86,,4.21
製品-AC,269.0,120.0,,120.0,7.8,,10.0,,4.21
製品-AD,554.0,1800.0,,1800.0,,14.7,,15.0,9.0
製品-AE,637.0,3000.0,,3000.0,,14.7,,15.0,9.0
製品-AF,637.0,,,,,8.8,,8.0,5.46
製品-AG,737.0,2200.0,,2200.0,,8.8,9.86,,5.46
製品-AH,737.0,,,,,8.8,,8.0,5.46
製品-AI,737.0,5300.0,,5300.0,,8.8,9.86,,5.46
製品-AJ,737.0,65000.0,,65000.0,7.8,,,8.0,5.54
製品-AK,737.0,,,,,8.8,,8.0,5.54
製品-AL,637.0,,,,7.8,,,8.0,5.54
製品-AM,637.0,,,,7.8,,9.23,,5.54
製品-AN,822.0,2300.0,,2300.0,7.8,,9.6,,5.54
製品-AO,737.0,3000.0,,3000.0,7.8,,9.6,,7.5
製品-AP,637.0,3000.0,,3000.0,7.8,,9.6,,5.54
製品-AQ,637.0,,,,13.3,,12.86,,7.66
製品-AR,684.0,,,,13.3,,12.41,,7.35
製品-AS,737.0,,,,13.3,,,,
製品-AT,1118.0,,,,13.3,,,,
製品-AU,942.0,,,,13.3,,,,
製品-AV,1118.0,11000.0,,11000.0,13.3,,,,
製品-AW,942.0,12000.0,,12000.0,13.3,,,,
製品-AX,337.0,,,,13.3,11.6,,11.6,5.9
製品-AY,737.0,,,,,11.6,,11.6,5.9
製品-AZ,337.0,8500.0,,8500.0,,11.3,12.0,,5.9
