LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,849600.0,1299600.0,932400.0,1321200.0,1195200.0
利益,191144561,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,849600.0,1240780.0,932400.0,1321200.0,1179670.0
,,,,稼働率,100.0%,95.5%,100.0%,100.0%,98.7%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,405.0,36000.0,,36000.0,,7.5,,7.5,3.6
F3×10（西原）,405.0,,,,,7.5,9.72972973,,3.6
普3×10（東原）,1370.0,,,8154.96,7.5,,9.72972973,,3.6
12普3×6(西新）,730.0,,,,,12.0,,10.90909091,5.373134328
12普3×6化粧(西新）,788.0,,,,,12.0,,10.90909091,5.373134328
12F無塗装（西新）,730.0,25000.0,,25000.0,,7.5,,7.5,5.0
12F無塗装（西原）,730.0,,,,,7.5,9.72972973,,5.0
12F化粧（西新）,788.0,15000.0,,15000.0,,7.5,,7.5,5.0
12普及化粧（西新）,788.0,24000.0,,44744.6,,7.5,,7.5,5.0
12普及化粧（西原）,788.0,6000.0,,6000.0,,7.5,9.72972973,,5.0
12普及化粧（東新）,788.0,8000.0,,8000.0,7.5,,,7.5,5.0
12普及化粧（東原）,788.0,20000.0,,20000.0,7.5,,9.72972973,,5.0
12普及無塗装（東新）,730.0,10000.0,,10000.0,7.5,,,7.5,5.0
12普及無塗装（東原）,730.0,,,,7.5,,9.72972973,,5.0
12高級リブ柄,788.0,22000.0,,22000.0,7.826086957,,9.72972973,,5.0
12高級（東原）,1035.0,8200.0,,8200.0,7.826086957,,9.72972973,,5.0
15高級（東原）,1007.0,13000.0,,13000.0,10.59,,12.85714286,,5.538461538
16高級（東原）,655.0,,,,12.0,,12.85714286,,5.538461538
１６Ｆ化粧（西新）,1118.0,8000.0,8000.0,8000.0,,10.0,,9.72972973,5.373134328
１６Ｆ無塗装（西新）,1041.0,9000.0,9000.0,9000.0,,10.0,,9.72972973,5.373134328
１６Ｆ化粧（西原）,1118.0,,,2418.41,,10.0,12.86,,5.373134328
１６Ｆ無塗装（西原）,1041.0,,,,,10.0,12.86,,5.373134328
野地板（西新）,602.0,8000.0,,8000.0,,12.0,,14.4,6.206896552
野地板2M（西新）,602.0,,,,,12.0,,14.4,6.206896552
S1コタタキ（東原）,136.0,9000.0,9000.0,9000.0,8.78,,12.0,,
トンネル材,1.0,1.0,1.0,1.0,,7.06,,9.73,
型板,1.0,700.0,700.0,700.0,72.0,,,,
