LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最小値),
このファイルはUploadできます。
最大化/最小化,最小値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工
,,,,稼働時間,878400.0,1299600.0,1270800.0,1321200.0,1148400.0
利益,164484546,,,以上・以下,以下,以下,以下,以下,以下
,,,,実稼働,834976.0,1036320.0,963532.0,1304750.0,1051110.0
,,,,稼働率,95.1%,79.7%,75.8%,98.8%,91.5%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,38141.0,,38141.0,,7.51565762,,9.350649351,3.711340206
F3×10（西原）,400.0,5000.0,,5000.0,,7.51565762,11.68831169,,3.711340206
普3×10（東原）,1163.0,3193.0,,3193.0,7.826086957,,9.6,,3.711340206
12普3×6(西新）,697.0,,,,,12.0,,13.63636364,5.164992826
12普3×6化粧(西新）,715.0,,,,,12.0,,13.63636364,5.164992826
12F無塗装（西新）,704.0,23517.0,,23517.0,,7.51565762,,9.350649351,5.164992826
12F無塗装（西原）,704.0,,,,,7.51565762,11.68831169,,5.164992826
12F化粧（西新）,817.0,15000.0,,15000.0,,7.51565762,,9.350649351,5.164992826
12普及化粧（西新）,817.0,15057.0,,15057.0,,7.51565762,,8.275862069,5.164992826
12普及化粧（西原）,817.0,6000.0,,6000.0,,7.51565762,9.6,,5.164992826
12普及化粧（東新）,817.0,8000.0,,8000.0,7.826086957,,,8.275862069,5.164992826
12普及化粧（東原）,817.0,16000.0,,16000.0,7.826086957,,9.6,,5.164992826
12普及無塗装（東新）,704.0,10000.0,,10000.0,7.826086957,,,8.275862069,5.164992826
12普及無塗装（東原）,704.0,,,,7.826086957,,9.6,,5.164992826
12高級リブ柄,817.0,22000.0,,22000.0,7.826086957,,10.22727273,,5.164992826
12高級（東原）,1075.0,11652.0,,11652.0,7.826086957,,10.22727273,,5.164992826
15高級（東原）,1025.0,11860.0,,11860.0,11.04294479,,14.75409836,,5.20984081
16高級（東原）,1073.0,1679.0,,1679.0,12.0,,12.72084806,,5.381165919
１６Ｆ化粧（西新）,1138.0,9217.0,9217.0,9217.0,,9.254498715,,11.32075472,5.381165919
１６Ｆ無塗装（西新）,1053.0,9420.0,9420.0,9420.0,,9.254498715,,10.31518625,5.381165919
１６Ｆ化粧（西原）,1138.0,,,,,9.254498715,12.86,,5.381165919
１６Ｆ無塗装（西原）,1053.0,,,,,9.254498715,12.86,,5.381165919
野地板（西新）,598.0,7962.0,,7962.0,,11.53846154,,14.17322835,6.394316163
野地板2M（西新）,598.0,,,,,11.53846154,,14.17322835,6.394316163
S1コタタキ（東原）,136.0,9000.0,9000.0,9000.0,8.78,,13.63636364,,
トンネル材,1.0,1.0,1.0,1.0,,7.058823529,,9.72972973,
型板,1.0,700.0,700.0,700.0,72.0,,,,
